apt_name_dp,apt_IATA_dp,apt_time_dt_dp,apt_time_tm_dp,Country_dp,City_dp,apt_name_ds,apt_IATA_ds,apt_time_dt_ds,apt_time_tm_ds,City_ds,Country_ds,trip_class,price,ticket_sold_by,travel_type
John F. Kennedy International Airport,JFK,2026-01-24,19:20:00,USA,New York,Auckland Airport,AKL,2026-01-26,07:30:00,Auckland,New Zealand,Economy,1684,['United'],One way
John F. Kennedy International Airport,JFK,2026-01-24,21:00:00,USA,New York,Dublin Airport,DUB,2026-01-25,08:40:00,Dublin,Ireland,Economy,455,"['American', 'Iberia']",One way
John F. Kennedy International Airport,JFK,2026-01-24,21:20:00,USA,New York,Dublin Airport,DUB,2026-01-25,08:45:00,Dublin,Ireland,Economy,455,['KLM'],One way
John F. Kennedy International Airport,JFK,2026-01-31,17:00:00,USA,New York,Dublin Airport,DUB,2026-02-01,04:20:00,Dublin,Ireland,Economy,455,"['American', 'Iberia']",One way
John F. Kennedy International Airport,JFK,2026-01-31,19:20:00,USA,New York,Auckland Airport,AKL,2026-02-02,07:30:00,Auckland,New Zealand,Economy,1684,['United'],One way
John F. Kennedy International Airport,JFK,2026-01-31,21:00:00,USA,New York,Dublin Airport,DUB,2026-02-01,08:40:00,Dublin,Ireland,Economy,455,"['American', 'Iberia']",One way
John F. Kennedy International Airport,JFK,2026-01-31,21:20:00,USA,New York,Dublin Airport,DUB,2026-02-01,08:45:00,Dublin,Ireland,Economy,455,['KLM'],One way
John F. Kennedy International Airport,JFK,2026-02-07,17:00:00,USA,New York,Dublin Airport,DUB,2026-02-08,04:20:00,Dublin,Ireland,Economy,455,"['American', 'Iberia']",One way
John F. Kennedy International Airport,JFK,2026-02-07,19:20:00,USA,New York,Auckland Airport,AKL,2026-02-09,07:30:00,Auckland,New Zealand,Economy,1684,['United'],One way
John F. Kennedy International Airport,JFK,2026-02-07,21:00:00,USA,New York,Dublin Airport,DUB,2026-02-08,08:40:00,Dublin,Ireland,Economy,455,"['American', 'Iberia']",One way
John F. Kennedy International Airport,JFK,2026-02-07,21:20:00,USA,New York,Dublin Airport,DUB,2026-02-08,08:45:00,Dublin,Ireland,Economy,455,['KLM'],One way
John F. Kennedy International Airport,JFK,2026-02-14,17:00:00,USA,New York,Dublin Airport,DUB,2026-02-15,04:20:00,Dublin,Ireland,Economy,455,"['American', 'Iberia']",One way
John F. Kennedy International Airport,JFK,2026-02-14,17:15:00,USA,New York,Auckland Airport,AKL,2026-02-16,04:55:00,Auckland,New Zealand,Economy,1474,['American'],One way
John F. Kennedy International Airport,JFK,2026-02-14,19:20:00,USA,New York,Auckland Airport,AKL,2026-02-16,07:30:00,Auckland,New Zealand,Economy,1684,['United'],One way
John F. Kennedy International Airport,JFK,2026-02-14,21:00:00,USA,New York,Dublin Airport,DUB,2026-02-15,08:40:00,Dublin,Ireland,Economy,1102,"['American', 'Iberia']",One way
John F. Kennedy International Airport,JFK,2026-02-14,21:20:00,USA,New York,Dublin Airport,DUB,2026-02-15,08:45:00,Dublin,Ireland,Economy,455,['KLM'],One way
Newark Liberty International Airport,EWR,2025-11-29,17:45:00,USA,Newark,Dublin Airport,DUB,2025-11-30,05:15:00,Dublin,Ireland,Economy,722,"['American', 'Iberia']",One way
Newark Liberty International Airport,EWR,2025-11-29,19:55:00,USA,Newark,Dublin Airport,DUB,2025-11-30,07:30:00,Dublin,Ireland,Economy,405,"['Lufthansa', 'Austrian', 'Brussels Airlines']",One way
Newark Liberty International Airport,EWR,2025-11-29,22:15:00,USA,Newark,Dublin Airport,DUB,2025-11-30,09:55:00,Dublin,Ireland,Economy,405,['Lufthansa'],One way
Newark Liberty International Airport,EWR,2025-12-06,17:45:00,USA,Newark,Dublin Airport,DUB,2025-12-07,05:15:00,Dublin,Ireland,Economy,659,"['American', 'Iberia']",One way
Newark Liberty International Airport,EWR,2025-12-06,19:55:00,USA,Newark,Dublin Airport,DUB,2025-12-07,07:30:00,Dublin,Ireland,Economy,405,"['Lufthansa', 'Austrian', 'Brussels Airlines']",One way
Newark Liberty International Airport,EWR,2025-12-06,22:15:00,USA,Newark,Dublin Airport,DUB,2025-12-07,09:55:00,Dublin,Ireland,Economy,405,['Lufthansa'],One way
Newark Liberty International Airport,EWR,2025-12-13,17:45:00,USA,Newark,Dublin Airport,DUB,2025-12-14,05:15:00,Dublin,Ireland,Economy,455,"['American', 'Iberia']",One way
